input,label
关闭自动灯光，打开后排室内顶灯,多意图
把副驾车窗升起来，关闭充放电灯,多意图
打开车道保持设置，把伴我回家灯切换为90秒,多意图
关闭疲劳驾驶提醒，打开引我寻车灯,多意图
把左后车窗开一点，温度调节到19度,多意图
关闭导航播报，打开补能灯,多意图
打开驾驶模式个性化设置，关闭自动顶灯,多意图
把一排右温度调到24度，关闭设防模式,多意图
关闭行车记录仪，打开主驾零重力座椅,多意图
把二排右车窗升起来，关闭后雾灯,多意图
打开驾驶模式经济模式，关闭触屏音,多意图
把坐垫角度调高一点，关闭按键音,多意图
打开安全设置界面，把寻车灯时长设置为三十秒,多意图
关闭自动远近光，打开后排阅读灯,多意图
把右后车窗关闭，温度调节到30度,多意图
打开上下车自动阅读灯，关闭对外供电,多意图
把主驾坐垫角度下调，关闭ESP功能,多意图
打开驾控设置界面，把充电上限值设置为百分之五十,多意图
关闭屏幕清洁模式，打开门把手照明灯,多意图
把副驾靠背往前收，关闭设防鸣笛,多意图
打开前车起步提醒，关闭行车视频限制,多意图
把一排左车窗开一条缝，温度调节到21度,多意图
关闭车辆设置页面，打开副驾零重力座椅,多意图
打开田间小径模式，关闭蓝牙,多意图
把左后车窗升起来，关闭WiFi,多意图
打开车道偏离仅预警，关闭Carplay,多意图
把二排左温度调到28度，打开热点,多意图
关闭自动灯光自适应，打开门把手灯,多意图
把主驾车窗开一点，关闭连续对话,多意图
打开预警加纠偏模式，关闭免唤醒,多意图
把副驾温度调到31度，打开充电灯,多意图
关闭屏幕下拉菜单，关闭自动门把手灯,多意图
打开前向安全辅助，把续航模式设为标准续航,多意图
把右后车窗开一条缝，关闭设防灯光鸣笛,多意图
关闭自动顶灯，打开寻车灯,多意图
把左后温度调到17度，关闭雾灯,多意图
打开拨杆变道，把伴我回家照明设为六十秒,多意图
关闭紧急车道保持，解锁灯语关闭,多意图
把二排右车窗开一点，温度调节到23度,多意图
打开NOA领航，关闭补能灯,多意图
把一排右车窗降下来，关闭充放电灯,多意图
打开制动缓停，把充电电流设置为八安,多意图
关闭车身稳定，打开主驾顶灯,多意图
把主驾温度调到18度，关闭后排顶灯,多意图
打开运动模式，关闭前雾灯,多意图
关闭远光灯，把疲劳提醒设为一个半小时,多意图
打开位置灯，关闭超速提醒,多意图
把副驾车窗开一条缝，关闭行人提醒音,多意图
打开示廓灯，关闭屏幕自动亮度,多意图
把左后车窗关闭，打开灯光设置,多意图
关闭远光灯智能模式，关闭屏幕保护,多意图
把右后温度调到29度，打开阅读灯,多意图
打开能量回收中档，关闭清洁屏幕,多意图
把二排左车窗降下来，关闭设防模式灯光,多意图
打开舒适模式，关闭行车录像,多意图
把一排左温度调到32度，关闭门把手照明,多意图
关闭ESC，打开上下车自动灯光,多意图
把主驾靠背立起来，关闭解锁灯,多意图
打开标准驾驶模式，关闭寻车灯语,多意图
把副驾坐垫角度调高，关闭充电呼吸灯,多意图
关闭驻车制动，打开零重力模式,多意图
把左后温度调到25度，关闭对外供电,多意图
打开自动驻车，关闭导航界面,多意图
把右后车窗升起来，关闭后雾灯,多意图
打开田间小径模式，关闭均衡器音效,多意图
把二排右温度调到20度，打开自动大灯,多意图
关闭车道偏离预警，关闭触屏提示音,多意图
把一排右车窗开一点，关闭按键音,多意图
打开前向碰撞预警，关闭屏幕深色模式,多意图
把主驾车窗升起来，切换浅色屏幕,多意图
关闭高速领航，打开门把手灯光,多意图
把副驾温度调到26度，关闭寻车灯,多意图
打开个性模式，关闭伴我回家照明,多意图
把左后车窗开一条缝，关闭自动顶灯,多意图
关闭前车起步提醒，打开充放电灯,多意图
把右后温度调到19度，关闭充电口盖灯,多意图
打开能量回收低档，关闭免唤醒功能,多意图
把二排左车窗开一点，关闭连续对话,多意图
打开制动缓停，打开车道保持,多意图
把一排左车窗升起来，关闭疲劳驾驶提醒,多意图
关闭车身电子稳定，打开位置灯,多意图
把主驾温度调到30度，关闭示廓灯,多意图
打开湿滑路面模式，关闭前雾灯,多意图
关闭伴我回家灯，打开远光灯,多意图
把副驾车窗关闭，关闭智能远光灯,多意图
打开设防模式鸣笛灯光，关闭WiFi,多意图
把左后温度调到22度，打开蓝牙,多意图
关闭拖车模式，断开Carplay,多意图
把右后车窗降下来，关闭热点,多意图
打开充电上限百分之百，关闭自动门把手灯,多意图
把二排右温度调到27度，打开寻车灯,多意图
关闭自动阅读灯，打开引我寻车灯,多意图
把一排右温度调到18度，关闭设防模式,多意图
打开对外供电，关闭行车记录仪,多意图
把主驾坐垫水平复位，关闭前向辅助,多意图
关闭屏幕亮度最低，打开车道偏离纠偏,多意图
把副驾靠背向后放倒，关闭清洁屏幕,多意图
打开坡道缓降，关闭屏幕保护,多意图
把左后车窗开一点，关闭灯光自动调节,多意图
关闭胎压报警提醒，打开门把手照明灯,多意图
把右后温度调到31度，关闭解锁灯语,多意图
打开运动模式，关闭寻车灯语,多意图
把二排左车窗升起来，关闭伴我回家灯语,多意图
关闭ESC系统，打开充电呼吸灯,多意图
把一排左温度调到23度，关闭补能灯,多意图
打开舒适模式，关闭充电灯,多意图
把主驾车窗开一条缝，关闭自动顶灯,多意图
关闭NOA领航，打开上下车自动灯光,多意图
把副驾温度调到24度，关闭阅读灯,多意图
打开标准模式，关闭主驾阅读灯,多意图
把左后车窗关闭，关闭后排阅读灯,多意图
关闭紧急车道保持，打开全车顶灯,多意图
把右后温度调到21度，关闭室内顶灯,多意图
打开前向安全辅助，关闭全车顶灯,多意图
把二排右车窗开一条缝，关闭后排顶灯,多意图
打开能量回收高档，关闭前排顶灯,多意图
把一排右车窗降下来，关闭主驾顶灯,多意图
关闭制动缓停，打开零重力座椅,多意图
把主驾温度调到28度，关闭主驾零重力,多意图
打开车身稳定系统，关闭副驾零重力,多意图
把副驾车窗升起来，关闭座椅零重力姿态,多意图
关闭车道偏离辅助，恢复座椅正常坐姿,多意图
把左后温度调到26度，退出零重力躺姿,多意图
打开自动大灯，打开冷暖箱制冷模式,多意图
把右后车窗开一点，打开冰箱制热模式,多意图
关闭自动灯光，关闭车载冷暖箱,多意图
把二排左温度调到17度，调高冷暖箱温度,多意图
打开远光灯，调低冰箱温度,多意图
把一排左车窗关闭，冷暖箱设置为冷藏,多意图
关闭智能远光灯，冷暖箱切换为保温,多意图
把主驾靠背往前收，关闭冷暖箱制冷,多意图
打开前雾灯，关闭冷暖箱加热,多意图
把副驾坐垫倾角往下调，打开伴我回家照明,多意图
关闭后雾灯，伴我回家灯设置为60秒,多意图
把左后车窗升起来，寻车灯时长切换为六十秒,多意图
打开设防模式灯光，关闭屏幕深色,多意图
把右后温度调到22度，屏幕切换浅色,多意图
关闭连续对话，打开免唤醒功能,多意图
把二排右车窗开一点，打开智能免唤醒,多意图
打开前车起步提醒，关闭免唤醒,多意图
把一排右温度调到29度，关闭智能免唤醒,多意图
打开车道偏离预警，打开音量随速补偿,多意图
把主驾车窗降下来，关闭音量随车速补偿,多意图
关闭前向碰撞预警，打开声场前排,多意图
把副驾温度调到20度，恢复声场默认,多意图
打开拨杆变道，打开均衡器标准音效,多意图
把左后车窗开一条缝，均衡器切换流行曲风,多意图
关闭高速领航，切换摇滚音效,多意图
把右后温度调到25度，切换古典音效,多意图
打开疲劳驾驶提醒，切换爵士音效,多意图
把二排左车窗升起来，切换人声音效,多意图
关闭超速报警，切换重低音音效,多意图
把一排左车窗开一点，切换舞曲音效,多意图
打开行人提醒，切换柔和音效,多意图
把主驾温度调到21度，切换自定义音效,多意图
关闭低速提示音，喇叭音效设置为标准,多意图
把副驾车窗关闭，音效重置,多意图
打开位置灯，均衡器音效重置,多意图
把左后温度调到32度，打开WiFi,多意图
关闭示廓灯，开启无线局域网,多意图
把右后车窗降下来，关闭移动网络,多意图
打开驻车制动，打开4G蜂窝网络,多意图
把二排右温度调到18度，关闭蓝牙,多意图
关闭自动驻车，连接蓝牙设备,多意图
把一排右车窗开一条缝，打开Carplay,多意图
打开HDC陡坡缓降，断开Carplay,多意图
把主驾靠背向后倾斜，打开热点,多意图
关闭电子稳定控制系统，关闭热点,多意图
把副驾坐垫角度调高，打开驾驶模式设置,多意图
把左后温度调到27度，打开车辆设置,多意图
关闭车身稳定，打开驾控设置,多意图
把右后车窗升起来，打开驾驶辅助设置,多意图
打开个性驾驶模式，打开灯光设置界面,多意图
把二排左温度调到23度，打开能源管理界面,多意图
关闭田间小径模式，打开安全设置,多意图
把一排左车窗关闭，打开语音设置界面,多意图
打开经济模式，打开导航设置,多意图
把主驾温度调到22度，打开连接设置,多意图
关闭运动模式，打开通用设置,多意图
把副驾温度调到30度，打开均衡器调节,多意图
打开舒适模式，打开音效设置,多意图
把左后车窗开一点，打开WIFI设置界面,多意图
关闭标准模式，打开网络界面,多意图
把右后温度调到19度，打开蓝牙界面,多意图
打开续航动态模式，打开热点设置界面,多意图
把二排右车窗开一条缝，打开控制中心,多意图
关闭充电上限百分之五十，打开下拉菜单,多意图
把一排右温度调到24度，打开清洁屏幕,多意图
打开充电百分之百，退出清洁屏幕,多意图
把主驾车窗升起来，关闭屏幕自动调节,多意图
关闭充电电流八安，把屏幕调到最亮,多意图
把副驾靠背立起来，屏幕调到最暗,多意图
把左后温度调到28度，仪表屏幕亮度最低,多意图
打开自动门把手灯，打开屏幕保护,多意图
把右后车窗关闭，关闭屏幕熄灭,多意图
关闭门把手灯，把导航音量调大,多意图
把二排左温度调到21度，媒体音量调小,多意图
打开寻车灯，开启静音模式,多意图
把一排左车窗降下来，取消静音模式,多意图
关闭解锁灯，打开触屏音,多意图
把主驾坐垫前移，关闭按键音,多意图
把副驾车窗开一点，打开伴我回家灯,多意图
关闭引我寻车灯，关闭伴我回家照明,多意图
把左后温度调到23度，把疲劳提醒设置为1小时,多意图
把右后车窗开一条缝，超速报警设置为一百三十,多意图
打开车道偏离仅预警，关闭行车视频限制,多意图
把二排右温度调到26度，打开自动顶灯,多意图
把一排右车窗升起来，关闭自动阅读灯,多意图
打开前向安全辅助，打开全车顶灯,多意图
把主驾温度调到17度，关闭室内顶灯,多意图
关闭拨杆变道，打开后排阅读灯,多意图
把副驾温度调到25度，关闭后排顶灯,多意图
关闭NOA高速领航，打开主驾顶灯,多意图
把左后车窗关闭，关闭主驾顶灯,多意图
打开前车起步提醒，打开副驾顶灯,多意图
把右后温度调到31度，关闭副驾顶灯,多意图
关闭紧急车道保持，打开零重力座椅,多意图
把二排左车窗开一点，关闭零重力模式,多意图
把一排左温度调到20度，打开冷暖箱,多意图
打开能量回收低档，关闭车载冰箱,多意图
把主驾车窗开一条缝，调高冰箱温度,多意图
关闭制动缓停，调低冷暖箱温度,多意图
把副驾靠背往前倾斜，冷暖箱切换冷冻,多意图
打开ESC，关闭对外供电,多意图
把左后温度调到22度，打开充电呼吸灯,多意图
把右后车窗升起来，关闭充放电灯,多意图
打开设防模式鸣笛，关闭充电口盖灯,多意图
把二排右温度调到29度，打开寻车灯时长三十秒,多意图
把一排右车窗开一点，伴我回家灯90秒,多意图
关闭连续对话，打开免唤醒,多意图
把主驾坐垫后移，关闭免唤醒,多意图
打开驾驶模式个性化，打开音量随速补偿,多意图
把副驾车窗关闭，声场切换前排,多意图
把左后温度调到24度，均衡器切换流行,多意图
关闭车身稳定，打开4G网络,多意图
把右后车窗降下来，关闭蜂窝网络,多意图
打开自动驻车，打开蓝牙,多意图
把二排左温度调到18度，断开蓝牙,多意图
把一排左车窗升起来，打开Carplay,多意图
打开坡道缓降，关闭Carplay,多意图
把主驾温度调到27度，打开热点,多意图
关闭车道偏离预警，关闭热点,多意图
把副驾温度调到21度，打开拖车模式,多意图
把左后车窗开一点，关闭拖车模式,多意图
把右后温度调到20度，打开语音设置,多意图
把二排右车窗开一条缝，打开导航设置,多意图
把一排左车窗关闭，打开车辆设置,多意图
打开舒适模式，打开驾控界面,多意图
把主驾车窗降下来，打开安全设置,多意图
关闭运动模式，打开灯光设置,多意图
把副驾靠背向后躺，打开能源管理,多意图
把左后温度调到30度，打开屏幕深色模式,多意图
把右后车窗升起来，屏幕亮度调到百分之六十,多意图
打开前向碰撞预警，把媒体音量调到最大,多意图
把二排左温度调到23度，开启静音,多意图
把一排右温度调到26度，取消静音,多意图
打开能量回收中档，打开按键音,多意图
把主驾温度调到19度，关闭触屏提示音,多意图
关闭前车起步提醒，打开自动大灯,多意图
把副驾车窗开一条缝，关闭智能大灯,多意图
把左后车窗关闭，打开近光灯,多意图
把右后温度调到28度，关闭近光灯,多意图
打开远光灯，关闭前雾灯,多意图
把二排右车窗开一点，关闭后雾灯,多意图
把一排左车窗开一条缝，打开位置灯,多意图
关闭示廓灯，打开伴我回家灯语,多意图
把主驾靠背收起来，关闭寻车灯语,多意图
把副驾坐垫倾角上调，打开自动门把手照明,多意图
把左后温度调到22度，关闭门把手照明灯,多意图
把右后车窗降下来，打开上下车自动灯光,多意图
打开设防模式灯光，关闭自动顶灯,多意图
把二排左温度调到17度，打开阅读灯,多意图
把一排右车窗升起来，关闭后排阅读灯,多意图
关闭疲劳驾驶提醒，打开主驾零重力座椅,多意图
把主驾车窗升起来，关闭副驾零重力座椅,多意图
打开超速报警，打开冷暖箱制热,多意图
把副驾温度调到32度，关闭冷暖箱制冷,多意图
把左后车窗开一点，冷暖箱切换保温,多意图
把右后温度调到25度，调低冰箱温度,多意图
把二排右车窗关闭，关闭对外供电,多意图
把一排左温度调到21度，打开充电灯,多意图
打开车道偏离纠偏模式，关闭补能灯,多意图
关闭紧急车道保持，关闭充放电灯,多意图
把主驾坐垫水平复位，打开寻车灯六十秒,多意图
把副驾车窗关闭，伴我回家照明六十秒,多意图
把左后温度调到23度，关闭连续对话,多意图
把右后车窗开一条缝，打开免唤醒功能,多意图
把二排右温度调到20度，关闭智能免唤醒,多意图
把一排右车窗降下来，打开音量随车速补偿,多意图
打开前向安全辅助，均衡器切换摇滚音效,多意图
关闭NOA领航，声场恢复默认,多意图
把主驾温度调到24度，打开WiFi,多意图
把副驾靠背放倒，关闭无线局域网,多意图
把左后车窗升起来，打开移动网络,多意图
把右后温度调到29度，关闭4G网络,多意图
打开制动缓停，连接蓝牙,多意图
把二排左车窗开一点，断开蓝牙,多意图
把一排右温度调到18度，打开Carplay,多意图
关闭车身电子稳定，关闭Carplay,多意图
把主驾车窗开一点，打开热点,多意图
把副驾温度调到26度，关闭热点,多意图
把左后车窗关闭，打开驾驶辅助设置,多意图
把右后车窗开一条缝，打开车道保持设置,多意图
把二排右温度调到22度，打开灯光设置界面,多意图
把一排左车窗升起来，打开充电设置界面,多意图
打开自动驻车，打开行驶安全设置,多意图
把主驾靠背直立，打开语音助手设置,多意图
把副驾坐垫下调，打开地图设置,多意图
把左后温度调到31度，打开连接设置界面,多意图
把右后车窗关闭，打开均衡器音效设置,多意图
打开HDC陡坡缓降，打开WIFI设置界面,多意图
把二排右车窗开一点，打开通知中心,多意图
把一排右温度调到23度，打开控制中心,多意图
把主驾温度调到20度，打开屏幕自动亮度,多意图
关闭拨杆变道，屏幕切换最亮,多意图
把副驾车窗开一条缝，屏幕切换最暗,多意图
把左后车窗降下来，打开屏幕保护,多意图
把右后温度调到19度，熄灭屏幕,多意图
把二排左车窗升起来，把导航音量调到最小,多意图
把一排左车窗开一点，关闭按键音,多意图
打开前车起步提醒，关闭触屏音,多意图
把主驾坐垫前移，打开伴我回家灯三十秒,多意图
把副驾温度调到27度，寻车灯切换九十秒,多意图
关闭车道偏离预警，打开自动门把手灯,多意图
把左后车窗开一条缝，关闭门把手灯,多意图
把右后温度调到28度，打开解锁灯语,多意图
把二排右车窗关闭，关闭寻车灯语,多意图
把一排右温度调到21度，打开上下车自动阅读灯,多意图
打开能量回收高档，关闭自动阅读灯,多意图
把主驾车窗升起来，打开全车顶灯,多意图
关闭前向碰撞预警，关闭全车顶灯,多意图
把副驾靠背往前收，打开后排顶灯,多意图
把左后温度调到25度，关闭后排顶灯,多意图
把右后车窗开一点，打开零重力模式,多意图
把二排左温度调到30度，退出零重力模式,多意图
把一排左车窗关闭，打开车载冷暖箱,多意图
打开个性驾驶模式，关闭冷暖箱加热,多意图
把主驾温度调到22度，调高冷暖箱温度,多意图
关闭田间小径模式，冷暖箱切换冷藏,多意图
把副驾车窗关闭，关闭对外供电,多意图
把左后车窗升起来，打开充电呼吸灯,多意图
把右后温度调到23度，关闭充电口盖灯,多意图
把二排右车窗开一条缝，把充电上限设置为百分之五十,多意图
把一排右车窗降下来，充电上限设置百分之百,多意图
打开舒适模式，把充电电流调到八安,多意图
关闭标准模式，关闭拖车模式,多意图
把主驾靠背向后倾斜，打开连续对话时长三十秒,多意图
把副驾坐垫角度调高，关闭连续对话,多意图
把左后温度调到18度，打开免唤醒,多意图
把右后车窗开一点，关闭免唤醒,多意图
把二排右温度升到26度，打开音量随速补偿,多意图
把一排左车窗开一条缝，均衡器切换古典曲风,多意图
把主驾温度调到29度，打开前排声场,多意图
关闭运动模式，打开蓝牙界面,多意图
把副驾温度调到20度，关闭热点界面,多意图
把左后车窗关闭，打开网络界面,多意图
把右后温度调到21度，打开快捷控制界面,多意图
把二排右车窗升起来，关闭清洁屏幕,多意图
把一排右温度调到24度，打开屏幕亮度自动调节,多意图
打开自动大灯，把屏幕亮度调到6档,多意图
关闭智能远光灯，把屏幕亮度调到百分之六十,多意图
打开近光灯，把媒体声音调到最大,多意图
关闭远光灯，把电话音量调到最小,多意图
打开位置灯，开启静音,多意图
关闭示廓灯，取消静音,多意图
打开前雾灯，打开触屏提示音,多意图
关闭后雾灯，关闭按键音,多意图
打开驻车制动，打开伴我回家照明时长三十秒,多意图
关闭自动驻车，寻车灯时长切换六十秒,多意图
打开车道偏离仅预警，关闭自动顶灯,多意图
关闭车道偏离纠偏，打开阅读灯,多意图
打开前向碰撞预警，关闭主驾阅读灯,多意图
关闭前车起步提醒，打开后排阅读灯,多意图
打开NOA高速领航，关闭后排顶灯,多意图
关闭紧急车道保持，打开零重力座椅,多意图
打开疲劳驾驶提醒，关闭零重力座椅,多意图
关闭超速报警，打开冷暖箱制冷,多意图
打开行人提醒，关闭冷暖箱制热,多意图
关闭低速提示音，冷暖箱切换保温,多意图
把主驾车窗降下来，调低冰箱温度,多意图
把副驾靠背立起来，关闭对外供电,多意图
把左后温度调到32度，打开充电灯,多意图
把右后车窗开一点，关闭补能灯,多意图
把二排左温度调到22度，打开寻车灯,多意图
把一排左车窗关闭，关闭解锁灯,多意图
打开制动缓停，打开引我寻车灯,多意图
关闭ESC系统，关闭寻车灯语,多意图
打开车身稳定系统，打开自动门把手照明,多意图
把主驾温度调到17度，关闭门把手照明,多意图
把副驾温度调到25度，打开上下车自动灯光,多意图
把左后车窗开一条缝，关闭自动顶灯,多意图
把右后温度调到20度，打开全车顶灯,多意图
把二排右车窗开一点，关闭室内顶灯,多意图
把一排右车窗升起来，打开前排顶灯,多意图
打开能量回收低档，关闭前排顶灯,多意图
关闭车身稳定，打开主驾顶灯,多意图
把主驾坐垫后移，关闭主驾顶灯,多意图
把副驾车窗开一点，打开副驾顶灯,多意图
把左后温度调到27度，关闭副驾顶灯,多意图
把右后车窗升起来，打开后排室内顶灯,多意图
把二排左温度调到21度，关闭后排顶灯,多意图
把一排左车窗开一点，打开零重力姿态,多意图
打开HDC陡坡缓降，取消零重力姿态,多意图
关闭车道偏离辅助，恢复座椅正常坐姿,多意图
把主驾靠背放倒，打开车载冷暖箱,多意图
把副驾坐垫倾角往下调，关闭车载冰箱,多意图
把左后车窗关闭，调高冷暖箱温度,多意图
把右后温度调到29度，冷暖箱切换冷冻,多意图
把二排右车窗开一条缝，关闭冷暖箱制冷,多意图
把一排右温度调到23度，关闭冷暖箱加热,多意图
打开拨杆变道，打开充电呼吸灯,多意图
关闭高速领航，关闭充放电灯,多意图
打开前车起步提醒，关闭充电口盖灯,多意图
把主驾温度调到26度，把伴我回家灯切换90秒,多意图
把副驾温度调到21度，寻车灯时长三十秒,多意图
把左后车窗开一点，关闭连续对话,多意图
把右后温度调到19度，打开免唤醒功能,多意图
把二排右车窗降下来，关闭智能免唤醒,多意图
把一排左车窗关闭，打开音量随速补偿,多意图
打开自动门把手灯，均衡器切换爵士音效,多意图
关闭门把手灯，声场设置前排,多意图
打开解锁灯，打开4G蜂窝网络,多意图
关闭引我寻车灯，关闭移动网络,多意图
打开设防模式鸣笛灯光，连接蓝牙,多意图
关闭设防模式，断开蓝牙,多意图
打开续航动态续航，打开Carplay,多意图
关闭充电上限百分之五十，关闭Carplay,多意图
把主驾车窗升起来，打开热点,多意图
把副驾靠背往前收，关闭热点,多意图
把左后温度调到24度，打开拖车模式,多意图
把右后车窗开一条缝，关闭拖车模式,多意图
把二排左温度调到18度，打开语音设置界面,多意图
把一排右温度调到28度，打开导航设置界面,多意图
打开经济驾驶模式，打开车辆设置页面,多意图
关闭湿滑路面模式，打开驾控设置界面,多意图
把主驾温度调到22度，打开驾驶辅助设置,多意图
把副驾车窗关闭，打开灯光设置界面,多意图
把左后车窗升起来，打开能源管理界面,多意图
把右后温度调到23度，打开安全设置界面,多意图
把二排右车窗开一点，打开地图设置界面,多意图
把一排左车窗开一条缝，打开连接设置界面,多意图
打开自动大灯，打开均衡器调节界面,多意图
关闭自动灯光，打开WIFI设置界面,多意图
打开远光灯，打开蓝牙界面,多意图
关闭智能远光灯，打开热点界面,多意图
打开位置灯，打开控制中心,多意图
关闭示廓灯，打开下拉菜单,多意图
打开前雾灯，打开清洁屏幕,多意图
关闭后雾灯，退出清洁屏幕,多意图
打开驻车制动，关闭屏幕自动调节,多意图
关闭自动驻车，屏幕调到最亮,多意图
打开车道偏离预警，屏幕调到最暗,多意图
关闭前向安全辅助，仪表亮度最低,多意图
打开疲劳驾驶提醒，打开屏幕保护,多意图
关闭超速提醒，熄灭屏幕,多意图
打开行人警示音，把媒体音量调到最大,多意图
关闭低速提示音，把导航音量调到最小,多意图
把主驾坐垫前移，开启静音模式,多意图
把副驾靠背向后躺，取消静音模式,多意图
把左后温度调到31度，打开触屏音,多意图
把右后车窗关闭，关闭按键音,多意图
把二排右温度调到20度，打开伴我回家灯六十秒,多意图
把一排右车窗升起来，寻车灯时长六十秒,多意图
打开前车起步提醒，关闭自动门把手灯,多意图
关闭NOA领航，关闭解锁灯语,多意图
打开紧急车道保持，关闭上下车自动灯光,多意图
把主驾温度调到19度，打开自动阅读灯,多意图
把副驾温度调到25度，关闭自动顶灯,多意图
把左后车窗开一点，打开后排阅读灯,多意图
把右后温度调到22度，关闭后排顶灯,多意图
把二排左车窗开一条缝，打开主驾零重力座椅,多意图
把一排左车窗降下来，关闭副驾零重力座椅,多意图
打开能量回收中档，打开冷暖箱制热模式,多意图
关闭制动缓停，关闭冷暖箱制冷模式,多意图
打开ESC功能，冷暖箱切换保温模式,多意图
把主驾车窗开一条缝，调低冰箱温度,多意图
把副驾坐垫上调，关闭对外供电,多意图
把左后温度调到27度，打开充电灯,多意图
把右后车窗升起来，关闭补能灯,多意图
把二排右温度调到23度，把充电上限设置百分之百,多意图
把一排右温度调到21度，把充电电流设置八安,多意图
打开舒适模式，关闭连续对话,多意图
关闭运动模式，打开聆听时长三十秒,多意图
把主驾靠背直立，打开免唤醒,多意图
把副驾车窗开一点，关闭免唤醒,多意图
把左后车窗关闭，打开音量随车速补偿,多意图
把右后温度调到28度，均衡器切换人声曲风,多意图
把二排右车窗升起来，声场恢复默认,多意图
把一排右车窗开一点，打开无线局域网,多意图
打开HDC缓降，关闭WiFi,多意图
关闭车身稳定，打开蜂窝网络,多意图
把主驾温度调到24度，关闭4G网络,多意图
把副驾温度调到30度，连接蓝牙设备,多意图
把左后车窗开一条缝，断开蓝牙,多意图
把右后车窗开一点，打开Carplay,多意图
把二排右车窗关闭，关闭Carplay,多意图
把一排左车窗升起来，打开热点,多意图
打开个性模式，关闭热点,多意图
关闭田间小径模式，打开驾驶模式设置界面,多意图
把主驾坐垫水平复位，打开车道保持设置界面,多意图
把副驾靠背放倒，打开充电设置界面,多意图
把左后温度调到20度，打开行驶安全设置,多意图
把右后车窗降下来，打开语音助手设置,多意图
把二排右温度调到26度，打开导航设置,多意图
把一排右温度调到18度，打开通用设置界面,多意图
打开自动门把手照明，打开音效设置,多意图
关闭门把手照明灯，打开通知中心,多意图
打开寻车灯语，关闭通知中心,多意图
关闭伴我回家灯语，打开快捷控制界面,多意图
把主驾车窗关闭，打开屏幕亮度自动调节,多意图
把副驾温度调到22度，把屏幕亮度调到6,多意图
把左后车窗升起来，屏幕亮度调到百分之六十,多意图
把右后温度调到29度，把语音音量调到最大,多意图
把二排左车窗开一点，关闭静音模式,多意图
把一排左车窗开一条缝，打开按键音,多意图
打开拨杆变道，关闭触屏提示音,多意图
关闭前车起步提醒，打开自动大灯,多意图
打开前向碰撞预警，关闭智能大灯,多意图
把主驾温度调到21度，打开近光灯,多意图
把副驾车窗开一点，关闭近光灯,多意图
把左后温度调到25度，打开智能远光灯,多意图
把右后车窗关闭，关闭远光灯,多意图
把二排右温度调到23度，打开示廓灯,多意图
把一排右车窗降下来，关闭位置灯,多意图
打开车道偏离纠偏，打开前雾灯,多意图
关闭紧急车道保持，关闭后雾灯,多意图
打开NOA领航，打开伴我回家照明,多意图
把主驾靠背往前收，关闭寻车灯语,多意图
把副驾坐垫下调，打开解锁灯语,多意图
把左后车窗开一条缝，关闭引我寻车灯,多意图
把右后温度调到17度，打开上下车自动阅读灯,多意图
把二排右车窗升起来，关闭自动阅读灯,多意图
把一排左温度调到27度，打开全车顶灯,多意图
打开疲劳驾驶提醒，关闭全车顶灯,多意图
关闭超速报警，打开后排顶灯,多意图
打开行人提醒，关闭后排阅读灯,多意图
关闭低速提示音，打开零重力座椅,多意图
把主驾坐垫后移，退出零重力模式,多意图
把副驾温度调到28度，打开冷暖箱制冷,多意图
